Player,Team,Gms,Att,Yds,Avg,YPG,Lg,TD,FD
Brandon AiyukB. Aiyuk,SF,17,2,23,11.50,1.4,16,0,1
KJ HamlerK. Hamler,DEN,7,2,23,11.50,3.3,14,0,1
Ronnie RiversR. Rivers,LA,8,9,21,2.33,2.6,5,0,1
Skylar ThompsonS. Thompson,MIA,7,14,21,1.50,3.0,9,0,1
Derek WattD. Watt,PIT,17,9,21,2.33,1.2,4,1,8
Ameer AbdullahA. Abdullah,LV,17,4,20,5.00,1.2,7,0,2
Ty ChandlerT. Chandler,MIN,3,6,20,3.33,6.7,10,0,1
Larry RountreeL. Rountree,LAC,4,13,19,1.46,4.8,5,0,0
Trey SermonT. Sermon,PHI,2,2,19,9.50,9.5,14,0,2
Mike DavisM. Davis,BAL,8,8,18,2.25,2.2,10,0,1
Zay JonesZ. Jones,JAX,16,4,18,4.50,1.1,14,0,1
D'Ernest JohnsonD. Johnson,CLE,15,4,17,4.25,1.1,7,0,1
Bennett SkowronekB. Skowronek,LA,14,1,17,17.00,1.2,17t,1,1
KaVontae TurpinK. Turpin,DAL,17,3,17,5.67,1.0,11,0,1
Patrick RicardP. Ricard,BAL,17,7,16,2.29,0.9,5,0,5
Tyquan ThorntonT. Thornton,NE,13,3,16,5.33,1.2,19t,1,1
Jameis WinstonJ. Winston,NO,3,5,16,3.20,5.3,6,0,0
Dyami BrownD. Brown,WAS,15,1,15,15.00,1.0,15,0,1
Pharoh CooperP. Cooper,ARI,5,4,15,3.75,3.0,6,0,0
Trent TaylorT. Taylor,CIN,16,4,15,3.75,0.9,9,0,0
Kene NwangwuK. Nwangwu,MIN,17,9,14,1.56,0.8,8,0,1
Kyle AllenK. Allen,HOU,2,6,13,2.17,6.5,5,0,2
Evan EngramE. Engram,JAX,17,2,13,6.50,0.8,13,0,1
Kendall HintonK. Hinton,DEN,12,2,13,6.50,1.1,13,0,1
Brock PurdyB. Purdy,SF,9,22,13,0.59,1.4,13,1,5
Julius ChestnutJ. Chestnut,TEN,6,9,12,1.33,2.0,5,0,1
Jerome FordJ. Ford,CLE,13,8,12,1.50,0.9,9,0,1
Romeo DoubsR. Doubs,GB,13,1,11,11.00,0.8,11,0,1
Trenton IrwinT. Irwin,CIN,9,1,11,11.00,1.2,11,0,1
Christian KirkC. Kirk,JAX,17,5,11,2.20,0.7,5,0,0
D'Wayne EskridgeD. Eskridge,SEA,10,2,10,5.00,1.0,6,0,0
Danny GrayD. Gray,SF,13,1,9,9.00,0.7,9,0,0
Cole KmetC. Kmet,CHI,17,2,9,4.50,0.5,8,0,1
Adam PrenticeA. Prentice,NO,11,4,9,2.25,0.8,3,0,3
Matthew StaffordM. Stafford,LA,9,13,9,0.69,1.0,4,1,3
J.J. TaylorJ. Taylor,NE,1,10,9,0.90,9.0,5,0,0
Mike WhiteM. White,NYJ,4,6,9,1.50,2.2,4,1,3
Keenan AllenK. Allen,LAC,10,1,8,8.00,0.8,8,0,1
Mark AndrewsM. Andrews,BAL,15,3,8,2.67,0.5,4,0,3
Reggie BonnafonR. Bonnafon,WAS,1,3,8,2.67,8.0,5,0,0
Harrison BryantH. Bryant,CLE,17,1,8,8.00,0.5,8,0,1
Ja'Marr ChaseJ. Chase,CIN,12,5,8,1.60,0.7,6,0,0
Ashton DulinA. Dulin,IND,12,2,8,4.00,0.7,5,0,1
Nick FolesN. Foles,IND,3,2,8,4.00,2.7,8,0,0
